customer_id,company_name,signup_date,acquisition_channel,region,company_size_band,plan_type_at_signup,churn_date
1,Foster Inc,2024-10-12,Paid Ads,Asia Pacific,1-10,Starter,
2,"Davis, Aguilar and Browning",2024-03-04,Organic Search,Latin America,11-50,Starter,
3,Hamilton Inc,2024-07-08,Organic Search,Latin America,201-500,Starter,
4,"Coleman, Serrano and Martinez",2024-07-31,Partner,Latin America,1-10,Growth,
5,"Aguilar, Brown and Richards",2024-07-15,Organic Search,Latin America,11-50,Starter,2024-12-12
6,Williams and Sons,2024-02-13,Content Marketing,Europe,1-10,Growth,
7,Fernandez PLC,2024-09-12,Content Marketing,North America,500+,Starter,2026-04-09
8,"White, Perkins and Fowler",2024-09-29,Referral,Asia Pacific,500+,Scale,
9,"Joseph, Elliott and Montgomery",2024-11-24,Paid Ads,Europe,1-10,Growth,
10,"Patterson, Edwards and Richards",2025-03-13,Partner,Asia Pacific,51-200,Growth,2025-12-30
11,Wright-White,2025-02-03,Referral,Europe,201-500,Starter,
12,Andrews PLC,2025-11-18,Content Marketing,Latin America,51-200,Starter,
13,Blair-Roberts,2025-03-12,Outbound Sales,North America,1-10,Scale,
14,Hunt and Sons,2026-05-14,Organic Search,Africa,500+,Scale,
15,Mahoney Group,2025-10-29,Outbound Sales,Africa,1-10,Scale,
16,"Jones, Grant and Mccormick",2024-02-04,Outbound Sales,North America,11-50,Growth,2024-11-13
17,Dominguez-Wheeler,2025-12-22,Outbound Sales,North America,11-50,Starter,
18,Jones-Davis,2025-05-26,Outbound Sales,Latin America,51-200,Growth,
19,"Beck, Brown and Miles",2024-08-26,Outbound Sales,Europe,11-50,Starter,2025-05-21
20,"Short, Mitchell and Cruz",2025-07-24,,Latin America,11-50,Starter,2026-03-25
21,Shepard LLC,2025-08-12,Content Marketing,Latin America,51-200,Scale,
22,Snyder and Sons,2024-05-28,Content Marketing,North America,201-500,Scale,
23,Rodgers Group,2025-11-08,Content Marketing,Asia Pacific,201-500,Starter,2026-05-19
24,Miller-Cole,2024-12-10,Paid Ads,North America,11-50,Starter,2025-03-03
25,Fuentes PLC,2025-04-29,Content Marketing,Europe,500+,Starter,
26,Downs-Vega,2024-09-02,,Europe,500+,Starter,
