customer_id,company_name,signup_date,acquisition_channel,region,company_size_band,plan_type_at_signup,churn_date
1,Foster Inc,12/10/2024,Paid Ads,Asia Pacific,01-Oct,Starter,
2,"Davis, Aguilar and Browning",04/03/2024,Organic Search,Latin America,Nov-50,Starter,
3,Hamilton Inc,08/07/2024,Organic Search,Latin America,201-500,Starter,
4,"Coleman, Serrano and Martinez",31/07/2024,Partner,Latin America,01-Oct,Growth,
5,"Aguilar, Brown and Richards",15/07/2024,Organic Search,Latin America,Nov-50,Starter,12/12/2024
6,Williams and Sons,13/02/2024,Content Marketing,Europe,01-Oct,Growth,
7,Fernandez PLC,12/09/2024,Content Marketing,North America,500+,Starter,09/04/2026
8,"White, Perkins and Fowler",29/09/2024,Referral,Asia Pacific,500+,Scale,
9,"Joseph, Elliott and Montgomery",24/11/2024,Paid Ads,Europe,01-Oct,Growth,
10,"Patterson, Edwards and Richards",13/03/2025,Partner,Asia Pacific,51-200,Growth,30/12/2025
11,Wright-White,03/02/2025,Referral,Europe,201-500,Starter,
12,Andrews PLC,18/11/2025,Content Marketing,Latin America,51-200,Starter,
13,Blair-Roberts,12/03/2025,Outbound Sales,North America,01-Oct,Scale,
14,Hunt and Sons,14/05/2026,Organic Search,Africa,500+,Scale,
15,Mahoney Group,29/10/2025,Outbound Sales,Africa,01-Oct,Scale,
16,"Jones, Grant and Mccormick",04/02/2024,Outbound Sales,North America,Nov-50,Growth,13/11/2024
17,Dominguez-Wheeler,22/12/2025,Outbound Sales,North America,Nov-50,Starter,
18,Jones-Davis,26/05/2025,Outbound Sales,Latin America,51-200,Growth,
19,"Beck, Brown and Miles",26/08/2024,Outbound Sales,Europe,Nov-50,Starter,21/05/2025
20,"Short, Mitchell and Cruz",24/07/2025,,Latin America,Nov-50,Starter,25/03/2026
21,Shepard LLC,12/08/2025,Content Marketing,Latin America,51-200,Scale,
22,Snyder and Sons,28/05/2024,Content Marketing,North America,201-500,Scale,
23,Rodgers Group,08/11/2025,Content Marketing,Asia Pacific,201-500,Starter,19/05/2026
24,Miller-Cole,10/12/2024,Paid Ads,North America,Nov-50,Starter,03/03/2025
25,Fuentes PLC,29/04/2025,Content Marketing,Europe,500+,Starter,
26,Downs-Vega,02/09/2024,,Europe,500+,Starter,
